Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
.,org.pdfsam,PdfsamApp,start,Long Statement,The length of the statement "LOG.info(DefaultI18nContext.getInstance().i18n("Started in {0}"`DurationFormatUtils.formatDurationWords(STOPWATCH.getTime()`true`true)));" is 137.
.,org.pdfsam,PdfsamApp,initScene,Long Statement,The length of the statement "mainScene.getAccelerators().put(new KeyCodeCombination(KeyCode.L`KeyCombination.SHORTCUT_DOWN)`() -> eventStudio().broadcast(ShowStageRequest.INSTANCE`"LogStage"));" is 164.
.,org.pdfsam,PdfsamApp,stop,Long Statement,The length of the statement "StageStatus status=new StageStatus(this.primaryStage.getX()`this.primaryStage.getY()`this.primaryStage.getWidth()`this.primaryStage.getHeight());" is 145.
.,org.pdfsam,PdfsamApp,loadWorkspaceIfRequired,Long Statement,The length of the statement "String workspace=ofNullable(getParameters().getNamed().get("workspace")).filter(StringUtils::isNotBlank).orElseGet(userContext::getDefaultWorkspacePath);" is 153.
.,org.pdfsam,PdfsamApp,getOpenCmd,Complex Conditional,The conditional expression os.indexOf("nix") >= 0 || os.indexOf("nux") >= 0 || os.indexOf("aix") > 0 is complex.
.,org.pdfsam,WindowStatusController,initUi,Complex Conditional,The conditional expression !Boolean.getBoolean(PDFSAM_DISABLE_UI_RESTORE) && !StageStatus.NULL.equals(latestStatus) && hasAvailableScreen(latestStatus) is complex.
.,org.pdfsam,WindowStatusController,initUi,Long Statement,The length of the statement "if (!Boolean.getBoolean(PDFSAM_DISABLE_UI_RESTORE) && !StageStatus.NULL.equals(latestStatus) && hasAvailableScreen(latestStatus)) {" is 131.
.,org.pdfsam,WindowStatusController,defaultStageStatus,Magic Number,The method contains a magic number: 2
.,org.pdfsam,WindowStatusController,defaultStageStatus,Magic Number,The method contains a magic number: 4
.,org.pdfsam,InputPdfArgumentsControllerTest,onPdf,Long Statement,The length of the statement "new InputPdfArgumentsController().accept(Arrays.asList(folder.newFile("some.pdf").getAbsolutePath()`folder.newFile("some_other.pdf").getAbsolutePath()));" is 153.
.,org.pdfsam,InputPdfArgumentsControllerTest,onPdf,Magic Number,The method contains a magic number: 2
.,org.pdfsam,WindowStatusControllerTest,defaultOnNullStatus,Magic Number,The method contains a magic number: 200
.,org.pdfsam,WindowStatusControllerTest,defaultOnDisableRestore,Magic Number,The method contains a magic number: 10
.,org.pdfsam,WindowStatusControllerTest,defaultOnDisableRestore,Magic Number,The method contains a magic number: 10
.,org.pdfsam,WindowStatusControllerTest,defaultOnDisableRestore,Magic Number,The method contains a magic number: 10
.,org.pdfsam,WindowStatusControllerTest,defaultOnDisableRestore,Magic Number,The method contains a magic number: 10
.,org.pdfsam,WindowStatusControllerTest,defaultOnDisableRestore,Magic Number,The method contains a magic number: 200
.,org.pdfsam,Services,initServices,Long Statement,The length of the statement "Injector.addConfig(new UpdateServiceConfig()`new UIServiceConfig()`new TaskExecutionServiceConfig()`new PdfServiceConfig()`new NewsServiceConfig()`new ModuleServiceConfig()`new PremiumServiceConfig());" is 201.
.,org.pdfsam.basic,App,main,Long Statement,The length of the statement "Injector.addConfig(new PdfsamBasicConfig()`new org.pdfsam.alternatemix.AlternateMixModule.ModuleConfig()`new org.pdfsam.extract.ExtractModule.ModuleConfig()`new org.pdfsam.merge.MergeModule.ModuleConfig()`new org.pdfsam.rotate.RotateModule.ModuleConfig()`new org.pdfsam.split.SplitModule.ModuleConfig()`new org.pdfsam.splitbybookmarks.SplitByBookmarksModule.ModuleConfig()`new org.pdfsam.splitbysize.SplitBySizeModule.ModuleConfig());" is 434.
.,org.pdfsam.basic,PdfsamBasicConfig,updatesUrl,Long Statement,The length of the statement "return new URL(String.format("http://www.pdfsam.org/current-version?c=%s"`pdfsam.property(ConfigurableProperty.VERSION)));" is 122.
.,org.pdfsam.context,DefaultUserContext,isPlaySounds,Long Statement,The length of the statement "return prefs.getBoolean(BooleanUserPreference.PLAY_SOUNDS.toString()`Boolean.valueOf(System.getProperty(PLAY_SOUNDS_PROP`Boolean.TRUE.toString())));" is 148.
.,org.pdfsam.context,DefaultUserContext,isDonationNotification,Long Statement,The length of the statement "return prefs.getBoolean(BooleanUserPreference.DONATION_NOTIFICATION.toString()`Boolean.valueOf(System.getProperty(DONATE_NOTIFICATION_PROP`Boolean.TRUE.toString())));" is 166.
.,org.pdfsam.context,DefaultUserContext,isFetchPremiumModules,Long Statement,The length of the statement "return prefs.getBoolean(BooleanUserPreference.PREMIUM_MODULES.toString()`Boolean.valueOf(System.getProperty(FETCH_PREMIUM_MODULES_PROP`Boolean.TRUE.toString())));" is 162.
.,org.pdfsam.context,DefaultUserContext,getNumberOfLogRows,Magic Number,The method contains a magic number: 200
.,org.pdfsam.context,DefaultUserContext,isCheckForUpdates,Long Statement,The length of the statement "return prefs.getBoolean(BooleanUserPreference.CHECK_UPDATES.toString()`Boolean.valueOf(System.getProperty(CHECK_FOR_UPDATES_PROP`Boolean.TRUE.toString())));" is 156.
.,org.pdfsam.context,DefaultUserContext,isCheckForNews,Long Statement,The length of the statement "return prefs.getBoolean(BooleanUserPreference.CHECK_FOR_NEWS.toString()`Boolean.valueOf(System.getProperty(CHECK_FOR_NEWS_PROP`Boolean.TRUE.toString())));" is 154.
.,org.pdfsam.context,DefaultUserContextTest,getNumberOfLogRows,Magic Number,The method contains a magic number: 200
.,org.pdfsam.context,DefaultUserContextTest,getNumberOfLogRows,Magic Number,The method contains a magic number: 20
.,org.pdfsam.context,DefaultUserContextTest,getNumberOfLogRows,Magic Number,The method contains a magic number: 20
.,org.pdfsam.module,ModuleDescriptor,ModuleDescriptor,Long Parameter List,The method has 6 parameters. 
.,org.pdfsam.module,ModuleDescriptor,ModuleDescriptor,Long Statement,The length of the statement "this.inputTypes=ofNullable(inputTypes).filter(t -> t.length > 0).map(Arrays::asList).orElseGet(() -> Arrays.asList(ModuleInputOutputType.OTHER));" is 145.
.,org.pdfsam.module,ModuleDescriptorBuilderTest,buildNullName,Long Statement,The length of the statement "builder().category(ModuleCategory.MERGE).description("desc").name(null).priority(ModulePriority.DEFAULT).supportURL("url").build();" is 131.
.,org.pdfsam.module,ModuleDescriptorBuilderTest,buildNullDesctription,Long Statement,The length of the statement "builder().category(ModuleCategory.MERGE).description(null).name("name").priority(ModulePriority.DEFAULT).supportURL("url").build();" is 131.
.,org.pdfsam.module,ModuleDescriptorBuilderTest,buildBlankName,Long Statement,The length of the statement "builder().category(ModuleCategory.MERGE).description("desc").name("").priority(ModulePriority.DEFAULT).supportURL("url").build();" is 129.
.,org.pdfsam.module,ModuleDescriptorBuilderTest,buildBlankDesctription,Long Statement,The length of the statement "builder().category(ModuleCategory.MERGE).description("").name("name").priority(ModulePriority.DEFAULT).supportURL("url").build();" is 129.
.,org.pdfsam.module,ModuleDescriptorBuilderTest,build,Long Statement,The length of the statement "ModuleDescriptor victim=builder().category(ModuleCategory.MERGE).description("desc").name("name").priority(ModulePriority.DEFAULT).supportURL("url").build();" is 157.
.,org.pdfsam.module,PreferencesUsageDataStore,getUsages,Long Statement,The length of the statement "List<String> jsons=Arrays.stream(prefs.childrenNames()).parallel().map(name -> prefs.node(name)).map(node -> node.get(MODULE_USAGE_KEY`"")).filter(json -> isNotBlank(json)).collect(toList());" is 191.
.,org.pdfsam.module,ModuleUsageTest,lastSeenIsUpdated,Magic Number,The method contains a magic number: 100
.,org.pdfsam.module,PreferencesUsageDataStoreTest,incrementUsageFor,Long Statement,The length of the statement "ModuleUsage usage=JSON.std.beanFrom(ModuleUsage.class`Preferences.userRoot().node(PreferencesUsageDataStore.USAGE_PATH).node("moduleId").get(PreferencesUsageDataStore.MODULE_USAGE_KEY`""));" is 189.
.,org.pdfsam.module,PreferencesUsageDataStoreTest,multipleIncrementUsageFor,Long Statement,The length of the statement "ModuleUsage usage=JSON.std.beanFrom(ModuleUsage.class`Preferences.userRoot().node(PreferencesUsageDataStore.USAGE_PATH).node("moduleId").get(PreferencesUsageDataStore.MODULE_USAGE_KEY`""));" is 189.
.,org.pdfsam.module,PreferencesUsageDataStoreTest,multipleIncrementUsageFor,Long Statement,The length of the statement "ModuleUsage usage2=JSON.std.beanFrom(ModuleUsage.class`Preferences.userRoot().node(PreferencesUsageDataStore.USAGE_PATH).node("moduleId").get(PreferencesUsageDataStore.MODULE_USAGE_KEY`""));" is 190.
.,org.pdfsam.module,PreferencesUsageDataStoreTest,multipleIncrementUsageFor,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.module,PreferencesUsageDataStoreTest,multipleIncrementUsageFor,Magic Number,The method contains a magic number: 2
.,org.pdfsam.module,PreferencesUsageDataStoreTest,testClear,Long Statement,The length of the statement "assertTrue(isBlank(Preferences.userRoot().node(PreferencesUsageDataStore.USAGE_PATH).node("moduleId").get(PreferencesUsageDataStore.MODULE_USAGE_KEY`"")));" is 155.
.,org.pdfsam.module,PreferencesUsageDataStoreTest,multipleClear,Long Statement,The length of the statement "assertTrue(isBlank(Preferences.userRoot().node(PreferencesUsageDataStore.USAGE_PATH).node("moduleId").get(PreferencesUsageDataStore.MODULE_USAGE_KEY`"")));" is 155.
.,org.pdfsam.module,PreferencesUsageDataStoreTest,getUsages,Magic Number,The method contains a magic number: 2
.,org.pdfsam.module,PreferencesUsageDataStoreTest,getTotalUsages,Magic Number,The method contains a magic number: 3
.,org.pdfsam.module,StatefulPreferencesUsageServiceTest,module1,Long Statement,The length of the statement "ModuleDescriptor descriptor=builder().name("module1").description("desc").category(ModuleCategory.SPLIT).priority(ModulePriority.DEFAULT).build();" is 146.
.,org.pdfsam.module,StatefulPreferencesUsageServiceTest,module2,Long Statement,The length of the statement "ModuleDescriptor descriptor=builder().name("module2").description("desc").category(ModuleCategory.MERGE).priority(ModulePriority.HIGH).build();" is 143.
.,org.pdfsam.module,StatefulPreferencesUsageServiceTest,getMostUsed,Long Statement,The length of the statement "List<ModuleUsage> usages=Arrays.asList(new ModuleUsage[]{fistUsage("IDontExist")`fistUsage("module1")`fistUsage("module2").inc()});" is 131.
.,org.pdfsam.module,StatefulPreferencesUsageServiceTest,getMostUsed,Magic Number,The method contains a magic number: 2
.,org.pdfsam.module,StatefulPreferencesUsageServiceTest,getMostRecentlyUsed,Magic Number,The method contains a magic number: 2
.,org.pdfsam.module,StatefulPreferencesUsageServiceTest,getMostRecentlyUsed,Magic Number,The method contains a magic number: 3
.,org.pdfsam.module,StatefulPreferencesUsageServiceTest,getMostRecentlyUsed,Magic Number,The method contains a magic number: 2
.,org.pdfsam.module,Config,module1,Long Statement,The length of the statement "ModuleDescriptor descriptor=builder().name("module1").description("desc").category(ModuleCategory.SPLIT).priority(ModulePriority.DEFAULT).build();" is 146.
.,org.pdfsam.module,Config,module2,Long Statement,The length of the statement "ModuleDescriptor descriptor=builder().name("module2").description("desc").category(ModuleCategory.MERGE).priority(ModulePriority.HIGH).build();" is 143.
.,org.pdfsam.news,DefaultNewsService,getLatestNews,Long Statement,The length of the statement "return JSON.std.with(Feature.READ_ONLY`true).listOfFrom(NewsData.class`urlToStream(new URL(pdfsam.property(ConfigurableProperty.NEWS_URL))));" is 141.
.,org.pdfsam.news,LatestNewsController,fetchLatestNews,Long Statement,The length of the statement "news.stream().filter(n -> n.isImportant()).findFirst().filter(n -> service.getLatestImportantNewsSeen() < n.getId()).ifPresent(n -> {" is 133.
.,org.pdfsam.news,DefaultNewsServiceTest,testSetLatestNewsSeen,Magic Number,The method contains a magic number: 5
.,org.pdfsam.news,DefaultNewsServiceTest,testSetLatestNewsSeen,Magic Number,The method contains a magic number: 5
.,org.pdfsam.news,DefaultNewsServiceTest,testSetLatestImportantNewsSeen,Magic Number,The method contains a magic number: 5
.,org.pdfsam.news,DefaultNewsServiceTest,testSetLatestImportantNewsSeen,Magic Number,The method contains a magic number: 5
.,org.pdfsam.news,DefaultNewsServiceTest,testClear,Magic Number,The method contains a magic number: 5
.,org.pdfsam.news,DefaultNewsServiceTest,testClear,Magic Number,The method contains a magic number: 5
.,org.pdfsam.news,DefaultNewsServiceTest,testGetLatestNews,Magic Number,The method contains a magic number: 21
.,org.pdfsam.news,LatestNewsControllerTest,fetchLatestNews,Magic Number,The method contains a magic number: 5
.,org.pdfsam.news,LatestNewsControllerTest,fetchLatestNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,fetchLatestNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,fetchLatestNewsWithImportant,Magic Number,The method contains a magic number: 5
.,org.pdfsam.news,LatestNewsControllerTest,fetchLatestNewsWithImportant,Magic Number,The method contains a magic number: 3
.,org.pdfsam.news,LatestNewsControllerTest,fetchLatestNewsWithImportant,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,fetchLatestNewsWithImportant,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,fetchLatestNewsWithImportant,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,fetchLatestNewsWithImportantButSeen,Magic Number,The method contains a magic number: 5
.,org.pdfsam.news,LatestNewsControllerTest,fetchLatestNewsWithImportantButSeen,Magic Number,The method contains a magic number: 5
.,org.pdfsam.news,LatestNewsControllerTest,fetchLatestNewsWithImportantButSeen,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,fetchLatestNewsWithImportantButSeen,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,emptyFetchNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,emptyFetchNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,nullFetchNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,nullFetchNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,failingFetchNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,failingFetchNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,onShowNewsPanel,Magic Number,The method contains a magic number: 4
.,org.pdfsam.news,LatestNewsControllerTest,onShowNewsPanel,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.news,LatestNewsControllerTest,onShowNewsPanel,Magic Number,The method contains a magic number: 5
.,org.pdfsam.pdf,PdfDocumentDescriptor,toPdfFileSource,Long Statement,The length of the statement "throw new ConversionException(DefaultI18nContext.getInstance().i18n("File \"{0}\" does not exist or is invalid"`file.getName())`e);" is 131.
.,org.pdfsam.pdf,DefaultSAMBoxLoader,accept,Long Statement,The length of the statement "Optional.ofNullable(info.getCreationDate()).map(FORMATTER::format).ifPresent(c -> descriptor.putInformation("FormattedCreationDate"`c));" is 136.
.,org.pdfsam.pdf,PdfListParser,apply,Long Statement,The length of the statement ").filter(s -> s.toUpperCase().endsWith("PDF")).map(Paths::get).filter(Files::exists).filter(not(Files::isDirectory)).map(Path::toFile).collect(toList());" is 153.
.,org.pdfsam.pdf,PdfLoadController,request,Long Statement,The length of the statement "new PdfListParser().apply(event.list).stream().map(PdfDocumentDescriptor::newDescriptorNoPassword).forEach(loadEvent::add);" is 123.
.,org.pdfsam.pdf,PdfLoadController,request,Long Statement,The length of the statement "LOG.error(DefaultI18nContext.getInstance().i18n("Unable to find any valid PDF file in the list: {0}"`event.list.toString()));" is 125.
.,org.pdfsam.pdf,SAMBoxPdfLoadService,load,Long Statement,The length of the statement "BiConsumer<PDDocument`PdfDocumentDescriptor> consumer=Arrays.stream(requires).map(consumers::get).reduce(STARTER`(r`d) -> r.andThen(d)).andThen(FINISHER);" is 154.
.,org.pdfsam.pdf,SAMBoxPdfLoadService,load,Long Statement,The length of the statement "try (PDDocument document=PDFParser.parse(new BufferedSeekableSource(new FileChannelSeekableSource(current.getFile()))`current.getPassword())){" is 142.
.,org.pdfsam.pdf,BookmarksLevelSAMBoxLoaderTest,setUp,Long Statement,The length of the statement "document=PDFParser.parse(SeekableSources.inMemorySeekableSourceFrom(getClass().getResourceAsStream("/test_outline.pdf")));" is 122.
.,org.pdfsam.pdf,BookmarksLevelSAMBoxLoaderTest,accept,Magic Number,The method contains a magic number: 2
.,org.pdfsam.pdf,BookmarksLevelSAMBoxLoaderTest,accept,Magic Number,The method contains a magic number: 3
.,org.pdfsam.pdf,DefaultSAMBoxLoaderTest,setUp,Magic Number,The method contains a magic number: 2
.,org.pdfsam.pdf,DefaultSAMBoxLoaderTest,accept,Magic Number,The method contains a magic number: 2
.,org.pdfsam.pdf,PdfListParserTest,apply,Magic Number,The method contains a magic number: 3
.,org.pdfsam.pdf,PdfLoadControllerTest,request,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.pdf,PdfLoadControllerTest,emptyList,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.pdf,PdfLoadControllerTest,validList,Magic Number,The method contains a magic number: 60000
.,org.pdfsam.pdf,SAMBoxPdfLoadServiceTest,load,Magic Number,The method contains a magic number: 2
.,org.pdfsam.pdf,SAMBoxPdfLoadServiceTest,load,Magic Number,The method contains a magic number: 2
.,org.pdfsam.pdf,SAMBoxPdfLoadServiceTest,invalidPdf,Long Statement,The length of the statement "waitOrTimeout(() -> PdfDescriptorLoadingStatus.WITH_ERRORS == descriptor.loadingStatus().getValue()`timeout(seconds(2)));" is 121.
.,org.pdfsam.pdf,SAMBoxPdfLoadServiceTest,invalidPdf,Magic Number,The method contains a magic number: 2
.,org.pdfsam.pdf,SAMBoxPdfLoadServiceTest,encNoPwd,Magic Number,The method contains a magic number: 2
.,org.pdfsam.pdf,SAMBoxPdfLoadServiceTest,encWithPwd,Long Statement,The length of the statement "waitOrTimeout(() -> PdfDescriptorLoadingStatus.LOADED_WITH_USER_PWD_DECRYPTION == descriptor.loadingStatus().getValue()`timeout(seconds(2)));" is 141.
.,org.pdfsam.pdf,SAMBoxPdfLoadServiceTest,encWithPwd,Magic Number,The method contains a magic number: 2
.,org.pdfsam.pdf,SAMBoxPdfLoadServiceTest,invalidate,Magic Number,The method contains a magic number: 2
.,org.pdfsam.premium,DefaultPremiumModulesService,getPremiumModules,Long Statement,The length of the statement "return JSON.std.with(Feature.READ_ONLY`true).listOfFrom(PremiumModule.class`urlToStream(new URL(pdfsam.property(ConfigurableProperty.PREMIUM_MODULES_URL))));" is 157.
.,org.pdfsam.premium,PremiumModulesControllerTest,fetchPremiumModules,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.premium,PremiumModulesControllerTest,fetchPremiumModules,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.premium,PremiumModulesControllerTest,emptyFetchNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.premium,PremiumModulesControllerTest,emptyFetchNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.premium,PremiumModulesControllerTest,nullFetchNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.premium,PremiumModulesControllerTest,nullFetchNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.premium,PremiumModulesControllerTest,failingFetchNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.premium,PremiumModulesControllerTest,failingFetchNews,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.support,EncryptionUtils,encrypt,Magic Number,The method contains a magic number: 16
.,org.pdfsam.support,EncryptionUtils,decrypt,Magic Number,The method contains a magic number: 16
.,org.pdfsam.support.io,NetUtils,urlToStream,Magic Number,The method contains a magic number: 3
.,org.pdfsam.support.io,NetUtils,urlToStream,Magic Number,The method contains a magic number: 15000
.,org.pdfsam.support.io,NetUtils,urlToStream,Magic Number,The method contains a magic number: 15000
.,org.pdfsam.support.params,ConversionUtils,toPageRange,Long Statement,The length of the statement "throw new ConversionException(DefaultI18nContext.getInstance().i18n("Ambiguous page range definition: {0}. Use following formats: [n] or [n1-n2] or [-n] or [n-]"`value));" is 170.
.,org.pdfsam.support.params,ConversionUtils,toPageRange,Magic Number,The method contains a magic number: 2
.,org.pdfsam.support.params,ConversionUtilsTest,singlePage,Magic Number,The method contains a magic number: 5
.,org.pdfsam.support.params,ConversionUtilsTest,singlePage,Magic Number,The method contains a magic number: 5
.,org.pdfsam.support.params,ConversionUtilsTest,rangePage,Magic Number,The method contains a magic number: 5
.,org.pdfsam.support.params,ConversionUtilsTest,rangePage,Magic Number,The method contains a magic number: 10
.,org.pdfsam.support.params,ConversionUtilsTest,endPage,Magic Number,The method contains a magic number: 10
.,org.pdfsam.support.params,ConversionUtilsTest,startPage,Magic Number,The method contains a magic number: 10
.,org.pdfsam.support.params,ConversionUtilsTest,multiple,Magic Number,The method contains a magic number: 2
.,org.pdfsam.support.params,ConversionUtilsTest,multiple,Magic Number,The method contains a magic number: 2
.,org.pdfsam.support.params,ConversionUtilsTest,multiple,Magic Number,The method contains a magic number: 4
.,org.pdfsam.support.validation,PositiveIntRangeStringValidator,PositiveIntRangeStringValidator,Long Statement,The length of the statement "requireArg(lower > 0 && upper > 0`"Lower and upper limit cannot be negative numbers` lower=" + lower + " upper="+ upper);" is 121.
.,org.pdfsam.support.validation,IntRangeStringValidatorTest,invalidLower,Magic Number,The method contains a magic number: 5
.,org.pdfsam.task,BulkRotateParameters,equals,Long Statement,The length of the statement "return new EqualsBuilder().appendSuper(super.equals(other)).append(outputPrefix`params.outputPrefix).append(output`params.output).append(inputSet`params.inputSet).isEquals();" is 174.
.,org.pdfsam.task,PdfRotationInput,PdfRotationInput,Long Statement,The length of the statement "this.pageSelection.addAll(ofNullable(pages).filter(p -> p.length > 0).map(Arrays::asList).orElseGet(() -> Arrays.asList(PredefinedSetOfPages.ALL_PAGES)));" is 154.
.,org.pdfsam.task,PdfRotationInput,toString,Long Statement,The length of the statement "return new ToStringBuilder(this).append("source"`source).append("pageSelection"`pageSelection).append("rotation"`rotation).toString();" is 134.
.,org.pdfsam.task,PdfRotationInput,equals,Long Statement,The length of the statement "return new EqualsBuilder().append(source`input.source).append(rotation`input.rotation).append(pageSelection`input.pageSelection).isEquals();" is 140.
.,org.pdfsam.task,PdfRotationInputTest,nullPagesAllPages,Magic Number,The method contains a magic number: 3
.,org.pdfsam.task,PdfRotationInputTest,nullPagesAllPages,Magic Number,The method contains a magic number: 3
.,org.pdfsam.task,PdfRotationInputTest,nullPagesAllPages,Magic Number,The method contains a magic number: 2
.,org.pdfsam.task,PdfRotationInputTest,nullPagesAllPages,Magic Number,The method contains a magic number: 3
.,org.pdfsam.task,PdfRotationInputTest,emptyPagesAllPages,Magic Number,The method contains a magic number: 3
.,org.pdfsam.task,PdfRotationInputTest,emptyPagesAllPages,Magic Number,The method contains a magic number: 3
.,org.pdfsam.task,PdfRotationInputTest,emptyPagesAllPages,Magic Number,The method contains a magic number: 2
.,org.pdfsam.task,PdfRotationInputTest,emptyPagesAllPages,Magic Number,The method contains a magic number: 3
.,org.pdfsam.task,PdfRotationInputTest,predefinedPageSet,Long Statement,The length of the statement "PdfRotationInput victim=new PdfRotationInput(mock(PdfSource.class)`Rotation.DEGREES_180`PredefinedSetOfPages.EVEN_PAGES);" is 121.
.,org.pdfsam.task,PdfRotationInputTest,predefinedPageSet,Magic Number,The method contains a magic number: 3
.,org.pdfsam.task,PdfRotationInputTest,predefinedPageSet,Magic Number,The method contains a magic number: 2
.,org.pdfsam.task,PdfRotationInputTest,multiplePageRanges,Long Statement,The length of the statement "PdfRotationInput victim=new PdfRotationInput(mock(PdfSource.class)`Rotation.DEGREES_180`new PageRange[]{new PageRange(2`3)`new PageRange(5`5)});" is 144.
.,org.pdfsam.task,PdfRotationInputTest,multiplePageRanges,Magic Number,The method contains a magic number: 2
.,org.pdfsam.task,PdfRotationInputTest,multiplePageRanges,Magic Number,The method contains a magic number: 3
.,org.pdfsam.task,PdfRotationInputTest,multiplePageRanges,Magic Number,The method contains a magic number: 5
.,org.pdfsam.task,PdfRotationInputTest,multiplePageRanges,Magic Number,The method contains a magic number: 5
.,org.pdfsam.task,PdfRotationInputTest,multiplePageRanges,Magic Number,The method contains a magic number: 5
.,org.pdfsam.task,PdfRotationInputTest,multiplePageRanges,Magic Number,The method contains a magic number: 3
.,org.pdfsam.task,PdfRotationInputTest,multiplePageRanges,Magic Number,The method contains a magic number: 2
.,org.pdfsam.task,PdfRotationInputTest,multiplePageRanges,Magic Number,The method contains a magic number: 3
.,org.pdfsam.task,PdfRotationInputTest,multiplePageRanges,Magic Number,The method contains a magic number: 5
.,org.pdfsam.task,BulkRotateTask,execute,Long Statement,The length of the statement "String outName=nameGenerator(parameters.getOutputPrefix()).generate(nameRequest().originalName(input.source.getName()).fileNumber(currentStep));" is 144.
.,org.pdfsam.task,TaskExecutionController,TaskExecutionController,Long Statement,The length of the statement "GlobalNotificationContext.getContext().addListener(TaskExecutionFailedEvent.class`new TaskEventBroadcaster<TaskExecutionFailedEvent>());" is 136.
.,org.pdfsam.task,TaskExecutionController,TaskExecutionController,Long Statement,The length of the statement "GlobalNotificationContext.getContext().addListener(TaskExecutionStartedEvent.class`new TaskEventBroadcaster<TaskExecutionStartedEvent>());" is 138.
